Word,Class
Existence,1
Inexistence,1
Substantiality,1
Unsubstantiality,1
Intrinsicality,1
Extrinsicality,1
State,1
Circumstance,1
Relation,1
Irrelation,1
Consanguinity,1
Correlation,1
Identity,1
Contrariety,1
Difference,1
Uniformity,1
Nonuniformity,1
Similarity,1
Dissimilarity,1
Imitation,1
Nonimitation,1
Variation,1
Copy,1
Prototype,1
Agreement,1
Disagreement,1
Quantity,1
Degree,1
Equality,1
Inequality,1
Mean,1
Compensation,1
Greatness,1
Smallness,1
Superiority,1
Inferiority,1
Increase,1
"Nonincrease , Decrease",1
Addition,1
"Nonaddition, Subtraction",1
Adjunct,1
Remainder,1
Decrement,1
Mixture,1
Simpleness,1
Junction,1
Disjunction,1
Connection,1
Coherence,1
Incoherence,1
Combination,1
Decomposition,1
Whole,1
Part,1
Completeness,1
Incompleteness,1
Composition,1
Exclusion,1
Component,1
Extraneousness,1
Order,1
Disorder,1
Complexity,1
Arrangement,1
Derangement,1
Precedence,1
Sequence,1
Precursor,1
Sequel,1
Beginning,1
End,1
Middle,1
Continuity,1
Discontinuity,1
Term,1
Assemblage,1
"Nonassemblage, Dispersion",1
Focus,1
Class,1
Inclusion,1
Exclusion,1
Generality,1
Speciality,1
Normality,1
Multiformity,1
Conformity,1
Unconformity,1
Number,1
Numeration,1
List,1
Unity,1
Accompaniment,1
Duality,1
Duplication,1
bisection,1
Triality,1
Triplication,1
Trisection,1
Four,1
Quadruplication,1
Quadrisection,1
"Five ,",1
"Quinquesection ,",1
Plurality,1
Fraction,1
Zero,1
Multitude,1
Fewness,1
Repetition,1
Infinity,1
Time,1
Neverness,1
Period,1
Contingent Duration,1
Course,1
Diuturnity,1
Transientness,1
Perpetuity,1
Instantaneity,1
Chronometry,1
Anachronism,1
Priority,1
Posteriority,1
The Present Time,1
Different time,1
Synchronism,1
Futurity,1
The Past,1
Newness,1
Oldness,1
Morning,1
Evening,1
Youth,1
Age,1
Infant,1
Veteran,1
Adolescence,1
Earliness,1
Punctuality,1
Lateness,1
Occasion,1
Untimeliness,1
Frequency,1
Infrequency,1
Periodicity,1
Irregularity of recurrence,1
Change,1
Permanence,1
Cessation,1
Continuance in action,1
Conversion,1
Reversion,1
Revolution,1
Substitution,1
Interchange,1
Changeableness,1
Stability,1
Eventuality,1
Destiny,1
", Cause",1
Effect,1
Attribution,1
Chance,1
Power,1
Impotence,1
Strength,1
Weakness,1
Production,1
Destruction,1
Reproduction,1
Producer,1
Destroyer,1
Paternity,1
Posterity,1
Productiveness,1
Unproductiveness,1
Agency,1
Physical Energy,1
Physical Inertness,1
Violence,1
Moderation,1
Influence,1
Absence of Influence,1
Tendency,1
Liability,1
Concurrence,1
Counteraction,1
Space,2
Inextension,2
Region,2
Place,2
Situation,2
Location,2
Displacement,2
Presence,2
Absence,2
Inhabitant,2
Abode,2
Contents,2
Receptacle,2
Size,2
Littleness,2
Expansion,2
Contraction,2
Distance,2
Nearness,2
Interval,2
Contiguity,2
Length,2
Shortness,2
"Breadth , Thickness ,",2
"Narrowness, Thinness",2
Layer,2
Filament,2
Height,2
Lowness,2
Depth,2
Shallowness,2
Summit,2
Base,2
Verticality,2
Horizontality,2
Pendency,2
Support,2
Parallelism,2
Perpendicularity,2
Obliquity,2
Inversion,2
Crossing,2
Exteriority,2
Interiority,2
Centrality,2
Covering,2
Lining,2
Clothing,2
Divestment,2
Circumjacence,2
Interposition,2
Circumscription,2
Outline,2
Edge,2
Inclosure,2
Limit,2
Front,2
Rear,2
Laterality,2
Contraposition,2
Dextrality,2
Sinistrality,2
Form,2
Amorphism,2
Symmetry,2
Distortion,2
Angularity,2
Curvature,2
Straightness,2
Circularity,2
Convolution,2
Rotundity,2
Convexity,2
Flatness,2
Concavity,2
Sponge,2
Sharpness,2
Bluntness,2
Smoothness,2
Roughness,2
Notch,2
Fold,2
Furrow,2
Opening,2
Closure,2
Perforator,2
Stopper,2
Motion,2
Quiescence,2
Journey,2
Navigation,2
Traveler,2
Mariner,2
Transference,2
Carrier,2
Vehicle,2
Ship,2
Velocity,2
Slowness,2
Impulse,2
Recoil,2
Direction,2
Deviation,2
Precession,2
Sequence,2
Progression,2
Regression,2
Propulsion,2
Traction,2
Approach,2
Recession,2
Attraction,2
Repulsion,2
Convergence,2
Divergence,2
Arrival,2
Departure,2
Ingress,2
Egress,2
Reception,2
Ejection,2
Food,2
Excretion,2
Insertion,2
Extraction,2
Passage,2
Transcursion,2
Shortcoming,2
Ascent,2
Descent,2
Elevation,2
Depression,2
Leap,2
Plunge,2
Circuition,2
Rotation,2
Evolution,2
Oscillation,2
Agitation,2
Materiality,3
Immateriality,3
World,3
Gravity,3
Levity,3
Density,3
Rarity,3
Hardness,3
Softness,3
Elasticity,3
Inelasticity,3
Tenacity,3
Brittleness,3
Texture,3
Pulverulence,3
Friction,3
Lubrication,3
Fluidity,3
Gaseity,3
Liquefaction,3
Vaporization,3
Water,3
Air,3
Moisture,3
Dryness,3
Ocean,3
Land,3
"Gulf, Lake",3
Plain,3
Marsh,3
Island,3
Stream,3
River,3
Wind,3
Conduit,3
Airpipe,3
Semiliquidity,3
Bubble,3
Pulpiness,3
Unctuousness,3
Oil,3
Resin,3
Organization,3
Inorganization,3
Life,3
Death,3
Killing,3
Corpse,3
Interment,3
Animality,3
Vegetability†,3
Animal,3
Vegetable,3
Zoology,3
Botany,3
Husbandry,3
Agriculture,3
Mankind,3
Man,3
Woman,3
Sexuality,3
Physical Sensibility,3
Physical Insensibility,3
Physical Pleasure,3
Physical Pain,3
Touch,3
Sensations of Touch,3
Numbness,3
Heat,3
Cold,3
Calefaction,3
Refrigeration,3
Furnace,3
Refrigerator,3
Fuel,3
Insulation,3
Thermometer,3
Taste,3
Insipidity,3
Pungency,3
Saltiness,3
Bitterness,3
Condiment,3
Savoriness,3
Unsavoriness,3
Sweetness,3
Sourness,3
Odor,3
Inodorousness,3
Fragrance,3
Fetor,3
Acridity,3
Sound,3
Silence,3
Loudness,3
Faintness,3
Snap,3
Roll,3
Resonance,3
Nonresonance†,3
Sibilation,3
Stridor,3
Cry,3
Ululation,3
"Melody, Concord",3
Discord,3
Music,3
Musician,3
Musical Instruments,3
Hearing,3
Deafness,3
Light,3
Darkness,3
Dimness,3
Luminary,3
Shade,3
Transparency,3
Opacity,3
Turbidity,3
Semitransparency,3
Color,3
Achromatism,3
Whiteness,3
Blackness,3
Gray,3
Brown,3
Redness,3
Greenness,3
Yellowness,3
Purple,3
Blueness,3
Orange,3
Variegation,3
Vision,3
Blindness,3
Dimsightedness,3
Spectator,3
Optical Instruments,3
Visibility,3
Invisibility,3
Appearance,3
Disappearance,3
Intellect,4
Absence or want of Intellect,4
Thought,4
Incogitancy,4
Idea,4
Topic,4
Curiosity,4
Incuriosity,4
Attention,4
Inattention,4
Care,4
Neglect,4
Inquiry,4
Answer,4
Experiment,4
Comparison,4
Incomparability,4
Discrimination,4
Indiscrimination,4
Identification,4
Measurement,4
Evidence,4
Counter Evidence,4
Qualification,4
Possibility,4
Impossibility,4
Probability,4
Improbability,4
Certainty,4
Uncertainty,4
"Reasoning ,",4
"Intuition , , Sophistry",4
Demonstration,4
Confutation,4
Judgment,4
Discovery,4
Misjudgment,4
Overestimation,4
Underestimation,4
Belief,4
"Unbelief, Doubt",4
Credulity,4
Incredulity,4
Assent,4
Dissent,4
Knowledge,4
Ignorance,4
Scholar,4
Ignoramus,4
Truth,4
Error,4
Maxim,4
Absurdity,4
"Intelligence , Wisdom",4
"Imbecility, Folly",4
Sage,4
Fool,4
Sanity,4
Insanity,4
Madman,4
Memory,4
Oblivion,4
Expectation,4
Inexpectation,4
Disappointment,4
Foresight,4
Prediction,4
Omen,4
Oracle,4
Supposition,4
Analogy,4
Imagination,4
Meaning,4
Unmeaningness,4
Intelligibility,4
Unintelligibility,4
Equivocalness,4
Metaphor,4
Interpretation,4
Misinterpretation,4
Interpreter,4
Manifestation,4
"Latency, Implication",4
Information,4
Correction,4
Concealment,4
Disclosure,4
"Ambush ,",4
Publication,4
News,4
Secret,4
Messenger,4
Affirmation,4
Negation,4
Teaching,4
Misteaching,4
Learning,4
Teacher,4
Learner,4
School,4
Veracity,4
Falsehood,4
Deception,4
Untruth,4
Dupe,4
Deceiver,4
Exaggeration,4
Indication,4
Record,4
Obliteration,4
Recorder,4
Representation,4
Misrepresentation,4
Painting,4
Sculpture,4
Engraving,4
Artist,4
Language,4
Letter,4
Word,4
Neologism,4
Nomenclature,4
Misnomer,4
Phrase,4
Grammar,4
Solecism,4
Style,4
Perspicuity,4
Obscurity,4
Conciseness,4
Diffuseness,4
Vigor,4
Feebleness,4
Plainness,4
Ornament,4
Elegance,4
Inelegance,4
Voice,4
Aphony,4
Speech,4
Stammering,4
Loquacity,4
Taciturnity,4
Allocution,4
Response,4
Conversation,4
Soliloquy,4
Writing,4
Printing,4
Correspondence,4
Book,4
Description,4
Dissertation,4
Compendium,4
Poetry,4
Prose,4
The Drama,4
Will,5
Necessity,5
Willingness,5
Unwillingness,5
Resolution,5
Perseverance,5
Irresolution,5
Obstinacy,5
Tergiversation,5
Caprice,5
Choice,5
Absence of Choice,5
Rejection,5
Predetermination,5
Impulse,5
Habit,5
Desuetude,5
Motive,5
Absence of Motive,5
Dissuasion,5
Pretext,5
Good,5
Evil,5
Intention,5
Chance,5
Pursuit,5
Avoidance,5
Relinquishment,5
Business,5
Plan,5
Method,5
Mid-course,5
Circuit,5
Requirement,5
Instrumentality,5
Means,5
Instrument,5
Substitute,5
Materials,5
Store,5
Provision,5
Waste,5
Sufficiency,5
Insufficiency,5
Redundancy,5
Importance,5
Unimportance,5
Utility,5
Inutility,5
Expedience,5
Inexpedience,5
Goodness,5
Badness,5
Perfection,5
Imperfection,5
Cleanness,5
Uncleanness,5
Health,5
Disease,5
Salubrity,5
Insalubrity,5
Improvement,5
Deterioration,5
Restoration,5
Relapse,5
Remedy,5
Bane,5
Safety,5
Danger,5
Refuge,5
Pitfall,5
Warning,5
Alarm,5
Preservation,5
Escape,5
Deliverance,5
Preparation,5
Nonpreparation,5
Essay,5
Undertaking,5
Use,5
Disuse,5
Misuse,5
Action,5
Inaction,5
Activity,5
Inactivity,5
Haste,5
Leisure,5
Exertion,5
Repose,5
Fatigue,5
Refreshment,5
Agent,5
Workshop,5
Conduct,5
Direction,5
Director,5
Advice,5
Council,5
Precept,5
Skill,5
Unskillfulness,5
Proficient,5
Bungler,5
Cunning,5
Artlessness,5
Difficulty,5
Facility,5
Hindrance,5
Aid,5
Opposition,5
Cooperation,5
Opponent,5
Auxiliary,5
Party,5
Discord,5
Concord,5
Defiance,5
Attack,5
Defense,5
Retaliation,5
Resistance,5
Contention,5
Peace,5
Warfare,5
Pacification,5
Mediation,5
Submission,5
Combatant,5
Arms,5
Arena,5
Completion,5
Noncompletion,5
Success,5
Failure,5
Trophy,5
Prosperity,5
Adversity,5
Mediocrity,5
Authority,5
Government,5
"Politics ,",5
Laxity,5
Severity,5
Lenity,5
Command,5
Disobedience,5
Obedience,5
Compulsion,5
Master,5
Servant,5
Scepter,5
Freedom,5
Subjection,5
Liberation,5
Restraint,5
Prison,5
Keeper,5
Prisoner,5
Commission,5
Abrogation,5
Resignation,5
Consignee,5
Deputy,5
Permission,5
Prohibition,5
Consent,5
Offer,5
Refusal,5
Request,5
Deprecation,5
Petitioner,5
Promise,5
Release from engagement,5
Compact,5
Conditions,5
Security,5
Observance,5
Nonobservance,5
Compromise,5
Acquisition,5
Loss,5
Possession,5
Exemption,5
Participation,5
Possessor,5
Property,5
Retention,5
Relinquishment,5
Transfer,5
Giving,5
Receiving,5
Apportionment,5
Lending,5
Borrowing,5
Taking,5
Restitution,5
Stealing,5
Thief,5
Booty,5
Barter,5
Purchase,5
Sale,5
Merchant,5
Merchandise,5
Mart,5
Stock Market,5
Securities,5
Money,5
Treasurer,5
Treasury,5
Wealth,5
Poverty,5
Credit,5
Debt,5
Payment,5
Nonpayment,5
Expenditure,5
Receipt,5
Accounts,5
Price,5
Value,5
Worthlessness,5
Discount,5
Dearness,5
Cheapness,5
Liberality,5
Economy,5
Greed,5
Prodigality,5
Parsimony,5
Affections,6
Feeling,6
Sensibility,6
Insensibility,6
Excitation,6
Excitability,6
Inexcitability,6
Pleasure,6
Pain,6
Pleasurableness,6
", Painfulness",6
Content,6
Discontent,6
Regret,6
Relief,6
Aggravation,6
Cheerfulness,6
Dejection,6
Rejoicing,6
Lamentation,6
Amusement,6
Weariness,6
Wit,6
Dullness,6
Humorist,6
Beauty,6
Ugliness,6
Ornament,6
Jewelry,6
Blemish,6
Simplicity,6
Taste,6
Vulgarity,6
Fashion,6
Ridiculousness,6
Fop,6
Affectation,6
Ridicule,6
Laughingstock,6
Hope,6
Hopelessness,6
Fear,6
Courage,6
Cowardice,6
Rashness,6
Caution,6
Desire,6
Indifference,6
Dislike,6
Fastidiousness,6
Satiety,6
Wonder,6
Expectance,6
Prodigy,6
Repute,6
Disrepute,6
Nobility,6
Commonalty,6
Title,6
Pride,6
Humility,6
Vanity,6
Modesty,6
Ostentation,6
Celebration,6
Boasting,6
Insolence,6
Servility,6
Blusterer,6
Friendship,6
Enmity,6
Friend,6
Enemy,6
Sociality,6
"Seclusion, Exclusion",6
Courtesy,6
Discourtesy,6
Congratulation,6
Love,6
Hate,6
Favorite,6
Resentment,6
Irascibility,6
Sullenness,6
Endearment,6
Marriage,6
Celibacy,6
Divorce,6
Benevolence,6
Malevolence,6
Malediction,6
Threat,6
Philanthropy,6
Misanthropy,6
Benefactor,6
Evil doer,6
Pity,6
Pitilessness,6
Condolence,6
Gratitude,6
Ingratitude,6
Forgiveness,6
Revenge,6
Jealousy,6
Envy,6
Right,6
Wrong,6
Dueness,6
Undueness,6
Duty,6
Dereliction of Duty,6
Exemption,6
Respect,6
Disrespect,6
Contempt,6
Approbation,6
Disapprobation,6
Flattery,6
Detraction,6
Flatterer,6
Detractor,6
Vindication,6
Accusation,6
Probity,6
Improbity,6
Knave,6
Disinterestedness,6
Selfishness,6
Virtue,6
Vice,6
Innocence,6
Guilt,6
Good Man,6
Bad Man,6
Penitence,6
Impenitence,6
Atonement,6
Temperance,6
Intemperance,6
Sensualist,6
Asceticism,6
Fasting,6
Gluttony,6
Sobriety,6
Drunkenness,6
Purity,6
Impurity,6
Libertine,6
Legality,6
Illegality,6
Jurisdiction,6
Tribunal,6
Judge,6
Lawyer,6
Lawsuit,6
Acquittal,6
Condemnation,6
Punishment,6
Reward,6
Penalty,6
Scourge,6
Deity,6
Angel,6
Satan,6
Jupiter,6
Demon,6
Heaven,6
Hell,6
Theology,6
Orthodoxy,6
Heterodoxy,6
Judeo-Christian Revelation,6
Pseudo-Revelation,6
Piety,6
Impiety,6
Irreligion,6
Worship,6
Idolatry,6
Sorcery,6
Spell,6
Sorcerer,6
Churchdom,6
Clergy,6
Laity,6
Rite,6
Canonicals,6
Temple,6
